
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717597    1.325196  2.96e-04  1.74e-03
   -2.800000    0.727055    1.291201  1.92e-04  8.48e-04
   -2.700000    0.739973    1.255085  2.73e-04  1.04e-03
   -2.600000    0.756418    1.217518  4.05e-04  8.82e-04
   -2.500000    0.774692    1.182899  4.64e-04  9.62e-04
   -2.400000    0.793831    1.152211  7.15e-04  1.33e-03
   -2.300000    0.816530    1.120195  8.67e-05  2.42e-04
   -2.200000    0.840948    1.090496  8.59e-04  1.06e-03
   -2.100000    0.864359    1.066500  2.66e-04  2.96e-04
   -2.000000    0.891288    1.043175  1.39e-03  1.19e-03
   -1.900000    0.913438    1.028314  2.18e-03  1.82e-03
   -1.800000    0.939262    1.014419  2.23e-03  1.43e-03
   -1.700000    0.965152    1.005107  2.10e-03  9.48e-04
   -1.600000    0.990984    1.000778  1.69e-03  5.65e-04
   -1.500000    1.017309    1.001622  2.22e-04  3.70e-04
   -1.400000    1.043230    1.007884  1.60e-03  6.36e-04
   -1.300000    1.063617    1.017540  1.16e-03  5.18e-04
   -1.200000    1.086799    1.033696  2.14e-05  2.74e-04
   -1.100000    1.108327    1.053673  7.18e-04  6.80e-04
   -1.000000    1.126269    1.075743  7.41e-04  6.06e-04
   -0.900000    1.145935    1.104537  1.03e-03  1.51e-03
   -0.800000    1.160316    1.131311  8.70e-04  1.23e-03
   -0.700000    1.176677    1.166273  9.13e-04  1.89e-03
   -0.600000    1.187776    1.196487  7.81e-04  1.58e-03
   -0.500000    1.200206    1.235189  7.09e-04  2.07e-03
   -0.400000    1.207908    1.267337  6.16e-04  1.75e-03
   -0.300000    1.216074    1.307696  4.81e-04  2.14e-03
   -0.200000    1.220244    1.340317  4.26e-04  1.82e-03
   -0.100000    1.223963    1.380584  2.38e-04  2.12e-03
    0.000000    1.224525    1.412398  2.20e-04  1.82e-03
    0.100000    1.223712    1.451105  1.29e-05  2.02e-03
    0.200000    1.220664    1.481043  4.75e-06  1.75e-03
    0.300000    1.215328    1.516967  2.66e-04  1.87e-03
    0.400000    1.208740    1.544149  2.15e-04  1.63e-03
    0.500000    1.198981    1.576283  5.15e-04  1.66e-03
    0.600000    1.188992    1.599994  4.35e-04  1.46e-03
    0.700000    1.175010    1.627521  7.54e-04  1.42e-03
    0.800000    1.161836    1.647192  6.49e-04  1.25e-03
    0.900000    1.143927    1.669466  9.77e-04  1.14e-03
