
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717301    1.326933  4.07e-08  3.12e-09
   -2.800000    0.727247    1.290353  3.42e-08  2.79e-09
   -2.700000    0.740246    1.254042  2.54e-08  2.29e-09
   -2.600000    0.756013    1.218400  1.63e-08  1.73e-09
   -2.500000    0.774227    1.183861  8.20e-09  1.12e-09
   -2.400000    0.794546    1.150885  1.46e-09  4.54e-10
   -2.300000    0.816616    1.119953  3.85e-09  2.91e-10
   -2.200000    0.840089    1.091560  7.86e-09  1.15e-09
   -2.100000    0.864625    1.066204  1.08e-08  2.15e-09
   -2.000000    0.889903    1.044367  1.29e-08  3.28e-09
   -1.900000    0.915617    1.026499  1.44e-08  4.47e-09
   -1.800000    0.941488    1.012992  1.53e-08  5.61e-09
   -1.700000    0.967253    1.004159  1.58e-08  6.53e-09
   -1.600000    0.992673    1.000213  1.58e-08  7.07e-09
   -1.500000    1.017531    1.001252  1.55e-08  7.11e-09
   -1.400000    1.041625    1.007249  1.48e-08  6.62e-09
   -1.300000    1.064777    1.018058  1.40e-08  5.67e-09
   -1.200000    1.086821    1.033422  1.30e-08  4.42e-09
   -1.100000    1.107609    1.052992  1.21e-08  3.06e-09
   -1.000000    1.127010    1.076350  1.13e-08  1.77e-09
   -0.900000    1.144904    1.103029  1.06e-08  6.58e-10
   -0.800000    1.161186    1.132539  1.00e-08  2.11e-10
   -0.700000    1.175764    1.164381  9.60e-09  8.29e-10
   -0.600000    1.188557    1.198064  9.28e-09  1.22e-09
   -0.500000    1.199496    1.233116  9.06e-09  1.44e-09
   -0.400000    1.208524    1.269087  8.91e-09  1.52e-09
   -0.300000    1.215594    1.305557  8.81e-09  1.51e-09
   -0.200000    1.220669    1.342137  8.75e-09  1.43e-09
   -0.100000    1.223725    1.378465  8.72e-09  1.33e-09
    0.000000    1.224745    1.414214  8.70e-09  1.21e-09
    0.100000    1.223725    1.449080  8.70e-09  1.09e-09
    0.200000    1.220669    1.482791  8.71e-09  9.72e-10
    0.300000    1.215594    1.515097  8.74e-09  8.62e-10
    0.400000    1.208524    1.545774  8.78e-09  7.62e-10
    0.500000    1.199496    1.574619  8.83e-09  6.73e-10
    0.600000    1.188557    1.601450  8.91e-09  5.94e-10
    0.700000    1.175764    1.626105  9.01e-09  5.23e-10
    0.800000    1.161186    1.648441  9.14e-09  4.60e-10
    0.900000    1.144904    1.668331  9.30e-09  4.04e-10
