
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  3.629021901461023e-12  3.629021901461023e-08  2.979166031180459e-12  21    5    5
    2  3.629021901461023e-08  7.258043802922046e-07  2.979456598576975e-08  21    5    7
    3  7.258043802922046e-07  1.451608760584409e-05  6.255954438851742e-07  21    5   10
    4  1.451608760584409e-05  2.903217521168818e-04  1.252930976498461e-05  21    5   15
    5  2.903217521168818e-04  7.583447763229444e-04  2.459838644186664e-04  21    5   25
    6  7.583447763229444e-04  7.583447763229444e-04  8.219143170658614e-04  21    5   34
    7  7.583447763229444e-04  1.873335998746716e-03  1.362091613493220e-03  21    5   33
    8  1.873335998746716e-03  1.873335998746716e-03  2.706210064941187e-03  23    5   57
    9  1.873335998746716e-03  4.070146143980134e-03  4.302798164426993e-03  25    5   50
   10  4.070146143980134e-03  7.151260916771381e-03  6.884449342710501e-03  25    5   64
   11  7.151260916771381e-03  1.524223976072919e-02  1.073620193645532e-02  29    5  105
   12  1.524223976072919e-02  1.524223976072919e-02  1.708215780814402e-02  34    5  105
   13  1.524223976072919e-02  4.447671481999285e-02  2.144610448416051e-02  38    5  105
   14  6.763814440410117e-03  5.922967443257291e-03  2.150984514730778e-02  45   11  231
   15  5.922967443257291e-03  1.631746899468141e-02  2.221814081469316e-02  47    5  105
   16  1.631746899468141e-02  1.631746899468141e-02  2.469386576216460e-02  47    5  105
   17  6.929398698020017e-03  6.929398698020017e-03  2.515111018155581e-02  51   10  210
   18  6.929398698020017e-03  1.431473873040733e-02  2.587876198220005e-02  51    5  105
   19  1.431473873040733e-02  2.881382977761375e-02  2.711688369839808e-02  51    5  105
   20  7.203457444403438e-03  7.203457444403438e-03  2.871495670567679e-02  55    8  168
   21  7.203457444403438e-03  1.728440046482831e-02  2.918059515328678e-02  55    5  105
   22  1.728440046482831e-02  1.708011906967115e-02  2.977411206431046e-02  57    5  105
   23  1.708011906967115e-02  1.634599129548306e-02  2.999033051112112e-02  59    5  105
   24  1.634599129548306e-02  2.610973712199666e-02  2.998729276077062e-02  61    5  105
   25  7.097726930206065e-03  7.097726930206065e-03  3.015940864112584e-02  61   10  210
   26  7.097726930206065e-03  6.219818550172949e-02  3.031426640726805e-02  61    5  105
   27  1.670656715328176e-02  1.670656715328176e-02  3.062191081239157e-02  61   10  210
   28  1.670656715328176e-02  6.364668908478695e-02  3.086689124559371e-02  61    5  105
   29  8.154260976078258e-03  8.154260976078258e-03  3.096869336293768e-02  61   15  315
   30  8.154260976078258e-03  8.308446429795116e-02  3.106091129879460e-02  61    5  105
   31  2.077111607448779e-02  2.077111607448779e-02  3.125904479771840e-02  61    7  147
   32  2.077111607448779e-02  5.055540967430183e-02  3.141956309991643e-02  61    5  105
   33  1.263885241857546e-02  1.263885241857546e-02  3.150279383788376e-02  61    6  126
   34  1.263885241857546e-02  2.016390325227612e-02  3.157105869506382e-02  61    5  105
   35  2.016390325227612e-02  2.016390325227612e-02  3.167590878476942e-02  61    5  105
   36  2.016390325227612e-02  3.979080682539151e-02  3.176679545387791e-02  61    5  105
   37  3.979080682539151e-02  3.504351246027052e-02  3.191797127337762e-02  61    5  105
   38  3.504351246027052e-02  6.878313252450179e-02  3.202127343268993e-02  61    5  105
   39  3.867141038652847e-02  3.867141038652847e-02  3.211337700739908e-02  61   10  210
   40  3.867141038652847e-02  8.248951962860765e-02  3.219234835585927e-02  61    5  105
   41  2.062237990715191e-02  1.853647759692420e-02  3.222731870858890e-02  61    6  126
   42  1.853647759692420e-02  4.004657658698234e-02  3.225624251607822e-02  61    5  105
   43  4.004657658698234e-02  4.004657658698234e-02  3.231186909962321e-02  61    5  105
   44  4.004657658698234e-02  8.192579772459074e-02  3.235588512887594e-02  61    5  105
   45  6.735502077704955e-02  6.607256787825970e-02  3.242323440925372e-02  61   10  210
   46  6.607256787825970e-02  1.317492835633074e-01  3.246126796961528e-02  61    5  105
   47  3.293732089082685e-02  3.293732089082685e-02  3.247480630707619e-02  61   10  210
   48  3.293732089082685e-02  7.510432989074516e-02  3.248692770706012e-02  61    5  105
   49  7.510432989074516e-02  7.510432989074516e-02  3.250952858857918e-02  61    5  105
   50  7.510432989074516e-02  3.842504464109050e-02  3.252350267750040e-02  61    5  105
   51  3.842504464109050e-02  3.842504464109050e-02  3.252913572191601e-02  61    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 51
   Total nonlinear iterations = 308
   Total linear iterations    = 5718

