
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 0.1000, H(p,q)-H0 = -0.0000000018824715, L(p,q)-L0 = 0.0000000000000004
t = 0.2000, H(p,q)-H0 = -0.0000000017446893, L(p,q)-L0 = 0.0000000000000000
t = 0.3000, H(p,q)-H0 = 0.0000000001300136, L(p,q)-L0 = 0.0000000000000004
t = 0.4000, H(p,q)-H0 = 0.0000000012995816, L(p,q)-L0 = 0.0000000000000003
t = 0.5000, H(p,q)-H0 = 0.0000000018083006, L(p,q)-L0 = 0.0000000000000004
t = 0.6000, H(p,q)-H0 = 0.0000000020168764, L(p,q)-L0 = 0.0000000000000003
t = 0.7000, H(p,q)-H0 = 0.0000000021055059, L(p,q)-L0 = 0.0000000000000009
t = 0.8000, H(p,q)-H0 = 0.0000000021456843, L(p,q)-L0 = 0.0000000000000012
t = 0.9000, H(p,q)-H0 = 0.0000000021652187, L(p,q)-L0 = 0.0000000000000012
t = 1.0000, H(p,q)-H0 = 0.0000000021753710, L(p,q)-L0 = 0.0000000000000007
t = 1.1000, H(p,q)-H0 = 0.0000000021809786, L(p,q)-L0 = 0.0000000000000008
t = 1.2000, H(p,q)-H0 = 0.0000000021842472, L(p,q)-L0 = 0.0000000000000006
t = 1.3000, H(p,q)-H0 = 0.0000000021862454, L(p,q)-L0 = 0.0000000000000007
t = 1.4000, H(p,q)-H0 = 0.0000000021875197, L(p,q)-L0 = 0.0000000000000004
t = 1.5000, H(p,q)-H0 = 0.0000000021883627, L(p,q)-L0 = 0.0000000000000007
t = 1.6000, H(p,q)-H0 = 0.0000000021889383, L(p,q)-L0 = 0.0000000000000004
t = 1.7000, H(p,q)-H0 = 0.0000000021893426, L(p,q)-L0 = 0.0000000000000001
t = 1.8000, H(p,q)-H0 = 0.0000000021896337, L(p,q)-L0 = 0.0000000000000000
t = 1.9000, H(p,q)-H0 = 0.0000000021898475, L(p,q)-L0 = -0.0000000000000002
t = 2.0000, H(p,q)-H0 = 0.0000000021900078, L(p,q)-L0 = -0.0000000000000003
t = 2.1000, H(p,q)-H0 = 0.0000000021901300, L(p,q)-L0 = -0.0000000000000003
t = 2.2000, H(p,q)-H0 = 0.0000000021902241, L(p,q)-L0 = 0.0000000000000000
t = 2.3000, H(p,q)-H0 = 0.0000000021902972, L(p,q)-L0 = 0.0000000000000001
t = 2.4000, H(p,q)-H0 = 0.0000000021903539, L(p,q)-L0 = -0.0000000000000002
