           t                        u                        v                      u err                    v err
------------------------------------------------------------------------------------------------------------------------------
 0.000000000000000e+00    1.224744871391589e+00    1.732050807568877e+00    0.000000000000000e+00    0.000000000000000e+00
 1.000000000000000e+00    1.127017686767897e+00    1.551821503613988e+00    7.858534767146708e-06    2.188323338225828e-05
 2.000000000000000e+00    8.899103332791866e-01    1.154608370768354e+00    7.764608644489357e-06    2.535584576346395e-05
 3.000000000000000e+00    7.106410660756778e-01    1.023529279576880e+00    4.906216233724336e-06    1.229408770742069e-05
 4.000000000000000e+00    8.204730617922310e-01    1.374621086116680e+00    1.306831307501533e-06    1.077593255716103e-05
 5.000000000000000e+00    1.068564764620663e+00    1.691839212204075e+00    2.042659332790464e-07    3.096227194632206e-07
 6.000000000000000e+00    1.216586539798704e+00    1.677542924381987e+00    9.594487537789576e-07    9.152462890238411e-06
 7.000000000000000e+00    1.173434026092493e+00    1.342453786414837e+00    1.582354622442494e-06    1.585653721880576e-06
 8.000000000000000e+00    9.629416122015924e-01    1.012142316337908e+00    3.409046429703189e-06    3.032292771099065e-05
 9.000000000000000e+00    7.378651980553826e-01    1.183892379308912e+00    6.899289514250562e-06    2.586194213471948e-05
 1.000000000000000e+01    7.618838841024592e-01    1.577079185839070e+00    1.848967246309563e-06    2.826932303578999e-06
------------------------------------------------------------------------------------------------------------------------------
Current time                 = 10.00136810102964
Steps                        = 1577
Error test fails             = 147
NLS step fails               = 0
Initial step size            = 0.0001029860256095084
Last step size               = 0.006383607841908422
Current step size            = 0.006383607841908422
Last method order            = 4
Current method order         = 4
Stab. lim. order reductions  = 0
RHS fn evals                 = 2197
NLS iters                    = 2194
NLS fails                    = 0
NLS iters per step           = 1.391249207355739
LS setups                    = 272
Jac fn evals                 = 29
LS RHS fn evals              = 0
Prec setup evals             = 0
Prec solves                  = 0
LS iters                     = 0
LS fails                     = 0
Jac-times setups             = 0
Jac-times evals              = 0
LS iters per NLS iter        = 0
Jac evals per NLS iter       = 0.01321786690975387
Prec evals per NLS iter      = 0
Root fn evals                = 0
